name,crossover_T_independent,log_tunneling_10K_independent,log_tunneling_20K_independent,log_tunneling_50K_independent,log_gamow_factor_independent,BDE_est_from_length_kJmol,effective_barrier_independent_kJmol
HCN+,686.9653561832204,-35.3956026989348,-34.42541936020662,-34.0554024457617,-43.78993380426694,448.3162715432033,448.3162715432033
HCO,686.9653561832204,-23.278569154719595,-22.735402136356928,-22.595416019763583,-36.520745363756674,446.5319237054945,297.68794913699634
HCO+,686.9653561832204,-23.278569154719595,-22.735402136356928,-22.595416019763583,-36.520745363756674,446.5319237054945,297.68794913699634
HCP,686.9653561832204,-35.416964912710434,-34.44603056904356,-34.075579715138765,-43.650240639131205,448.5811294747135,448.5811294747135
HCP+,686.9653561832204,-35.3905090934692,-34.420504825109205,-34.05059137181485,-43.82322851185867,448.253118550374,448.253118550374
HCS,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
HCS+,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
HNC,778.5607370076495,-32.22771549318302,-31.224402910572106,-30.835422448735237,-42.06615301552556,460.0,460.0
HNC+,778.5607370076495,-32.22771549318302,-31.224402910572106,-30.835422448735237,-42.06615301552556,460.0,460.0
HNO,778.5607370076495,-21.153082235786894,-20.588664122220734,-20.439494555804583,-34.564573323428725,457.7857877066539,305.19052513776927
HNO+,778.5607370076495,-21.153082235786894,-20.588664122220734,-20.439494555804583,-34.564573323428725,457.7857877066539,305.19052513776927
HNS+,778.5607370076495,-31.940755745251423,-30.948785196121737,-30.566394626901083,-42.546348151323016,456.000000147234,456.000000147234
H2CN,686.9653561832204,-35.20227082384167,-34.23888445533794,-33.87279248258484,-45.04994842377966,445.91917390079345,445.91917390079345
H2CO,686.9653561832204,-23.278569154719595,-22.735402136356928,-22.595416019763583,-36.520745363756674,446.5319237054945,297.68794913699634
H2CO+,686.9653561832204,-23.233943782741083,-22.692353548392557,-22.553109556836386,-36.87820394834658,445.69690504804623,297.13127003203084
H2CS,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
H2CS+,686.9653561832204,-35.1819208752703,-34.21924997536698,-33.85357089599889,-45.18213218618919,445.6668484208897,445.6668484208897
H2NC+,778.5607370076495,-32.22771549318302,-31.224402910572106,-30.835422448735237,-42.06615301552556,460.0,460.0
H2NO+,778.5607370076495,-21.151382533043915,-20.587031992961304,-20.43789513881158,-34.568077241818266,457.75001207498264,305.1666747166551
HOOH,824.3584274198644,-21.32342803541482,-20.7042246543427,-20.528206340599546,-34.14587417429154,486.7852392239329,324.52349281595525
H3O+,824.3584274198644,-21.46837336808709,-20.84309550639723,-20.663983925227992,-33.69427771976918,490.0,326.6666666666667
HC2N,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
HC2O,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
HC2S+,686.9653561832204,-35.40047643138143,-34.4301217524032,-34.06000584020661,-43.75807136346482,448.3766983435942,448.3766983435942
l-C3H,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
HCNH+,778.5607370076495,-32.22771549318302,-31.224402910572106,-30.835422448735237,-42.06615301552556,460.0,460.0
HCNO,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
HCNO+,686.9653561832204,-35.40892155143464,-34.438269977657264,-34.067982517711975,-43.70284921568487,448.481404636129,448.481404636129
HCNS,686.9653561832204,-35.40093328576203,-34.43056254568975,-34.060437353499786,-43.75508439099711,448.38236263155676,448.38236263155676
HOCO+,824.3584274198644,-21.307804103360468,-20.6892555387425,-20.513569850839662,-34.194312547060065,486.43868908236516,324.29245938824346
HDCO,686.9653561832204,-23.278569154719595,-22.735402136356928,-22.595416019763583,-51.62250793050806,446.5319237054945,297.68794913699634
HNCO+,778.5607370076495,-32.22771549318302,-31.224402910572106,-30.835422448735237,-42.06615301552556,460.0,460.0
HNCS,778.5607370076495,-32.22771549318302,-31.224402910572106,-30.835422448735237,-42.06615301552556,460.0,460.0
HNCS+,778.5607370076495,-31.962857823086992,-30.97001364689518,-30.58711586034748,-42.50959616645297,456.30810269639574,456.30810269639574
HOCN,824.3584274198644,-21.46837336808709,-20.84309550639723,-20.663983925227992,-33.69427771976918,490.0,326.6666666666667
HOCN+,824.3584274198644,-21.35342352641859,-20.732963020788606,-20.556305676805717,-34.05274898171217,487.45054728599007,324.9670315239934
HOCS+,824.3584274198644,-21.46837336808709,-20.84309550639723,-20.663983925227992,-33.69427771976918,490.0,326.6666666666667
HONC,824.3584274198644,-21.46837336808709,-20.84309550639723,-20.663983925227992,-33.69427771976918,490.0,326.6666666666667
HONC+,824.3584274198644,-21.46837336808709,-20.84309550639723,-20.663983925227992,-33.69427771976918,490.0,326.6666666666667
HSO2+,824.3584274198644,-21.46837336808709,-20.84309550639723,-20.663983925227992,-33.69427771976918,490.0,326.6666666666667
l-C3H2,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
l-C3H2+,686.9653561832204,-35.29616999471238,-34.329482358117104,-33.961484602181166,-44.438926316257444,447.0834372612193,447.0834372612193
H2CCS,686.9653561832204,-35.292644410393386,-34.32608072297533,-33.958154540277356,-44.46190060447998,447.0397239191076,447.0397239191076
H2CSH+,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
H2COH+,686.9653561832204,-23.278569154719595,-22.735402136356928,-22.595416019763583,-36.520745363756674,446.5319237054945,297.68794913699634
HCCNC,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
HC3N,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
HC3O,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
HC3O+,686.9653561832204,-35.39737297023248,-34.427127396064684,-34.057074523261896,-43.778361064573,448.338220200961,448.338220200961
HC3S+,686.9653561832204,-35.40942859793344,-34.438759198566146,-34.06846143861609,-43.69953320589965,448.48769121107586,448.48769121107586
HCNCC,686.9653561832204,-35.39206806684235,-34.42200899131287,-34.052063872502735,-43.81303873497574,448.27244747027714,448.27244747027714
HCOCN,686.9653561832204,-23.237247641901803,-22.695540668835825,-22.55624177666245,-36.851765171122864,445.7587270002606,297.1724846668404
HNCCC,778.5607370076495,-32.22771549318302,-31.224402910572106,-30.835422448735237,-42.06615301552556,460.0,460.0
HOCHN,824.3584274198644,-21.401500001001857,-20.77902464350797,-20.601341864927047,-33.90312957791233,488.51685902180236,325.6779060145349
H2C3O+,686.9653561832204,-35.283550414550305,-34.31730644595068,-33.94956487499367,-44.52114944107911,446.92696820159597,446.92696820159597
l-C3H3+,686.9653561832204,-35.29228401416659,-34.325732997228236,-33.95781413089218,-44.46424896489897,447.0352554020177,447.0352554020177
HC2NCH+,686.9653561832204,-35.39849935204961,-34.42821417896026,-34.058138426525325,-43.77099727127107,448.35218560679874,448.35218560679874
HC4N,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
HC4N+,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
HC4O+,686.9653561832204,-35.39304055774917,-34.422947293404995,-34.052982421444135,-43.806682079676904,448.2845048865639,448.2845048865639
HC4S+,686.9653561832204,-35.39371253860532,-34.4235956501608,-34.053617128922795,-43.802289586010666,448.2928364304878,448.2928364304878
H2C4N+,686.9653561832204,-35.284148474238975,-34.31788347954601,-33.95012976802126,-44.51725350545943,446.9343835057385,446.9343835057385
C2H3CO+,686.9653561832204,-23.23600357104877,-22.694340556026518,-22.555062337532636,-36.86172119920118,445.7354479122425,297.15696527482834
H3C4N+,686.9653561832204,-35.22776085926524,-34.26347831251602,-33.89686909004417,-44.884257519496444,446.2352305189607,446.2352305189607
HC6N,686.9653561832204,-35.39561767866328,-34.425433813309475,-34.05541659459262,-43.789835880430424,448.31645726899046,448.31645726899046
HC6N+,686.9653561832204,-35.39561767866328,-34.425433813309475,-34.05541659459262,-43.789835880430424,448.31645726899046,448.31645726899046
HCOOCH3,686.9653561832204,-23.236372048085453,-22.69469601328057,-22.555411671622817,-36.85877241879605,445.7423428669972,297.1615619113315
H5C2O2+,686.9653561832204,-23.236372048085453,-22.69469601328057,-22.555411671622817,-36.85877241879605,445.7423428669972,297.1615619113315
H5C3O+,686.9653561832204,-35.27527811211508,-34.30932497478458,-33.94175132687827,-44.575030143092704,446.8244002963735,446.8244002963735
HC7N,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
HC8N,686.9653561832204,-35.39567711198239,-34.42549115719754,-34.05547273125617,-43.78944735901191,448.3171941514929,448.3171941514929
HC8N+,686.9653561832204,-35.39567711198239,-34.42549115719754,-34.05547273125617,-43.78944735901191,448.3171941514929,448.3171941514929
HC9N,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
HC10N+,686.9653561832204,-35.39569823378737,-34.42551153644677,-34.0554926814739,-43.78930928353388,448.31745602965424,448.31745602965424
ND,778.5607370076495,-32.22771549318302,-31.224402910572106,-30.835422448735237,-59.461007600491044,460.0,460.0
NH,778.5607370076495,-32.22771549318302,-31.224402910572106,-30.835422448735237,-42.06615301552556,460.0,460.0
NH+,778.5607370076495,-32.22771549318302,-31.224402910572106,-30.835422448735237,-42.06615301552556,460.0,460.0
N2H,778.5607370076495,-32.22771549318302,-31.224402910572106,-30.835422448735237,-42.06615301552556,460.0,460.0
NH2,778.5607370076495,-32.22771549318302,-31.224402910572106,-30.835422448735237,-42.06615301552556,460.0,460.0
NH2+,778.5607370076495,-32.22771549318302,-31.224402910572106,-30.835422448735237,-42.06615301552556,460.0,460.0
NHD,778.5607370076495,-32.22771549318302,-31.224402910572106,-30.835422448735237,-59.461007600491044,460.0,460.0
N2H2,778.5607370076495,-32.22771549318302,-31.224402910572106,-30.835422448735237,-42.06615301552556,460.0,460.0
NH3,778.5607370076495,-32.22771549318302,-31.224402910572106,-30.835422448735237,-42.06615301552556,460.0,460.0
NH3+,778.5607370076495,-32.22771549318302,-31.224402910572106,-30.835422448735237,-42.06615301552556,460.0,460.0
NH2CN,778.5607370076495,-32.22771549318302,-31.224402910572106,-30.835422448735237,-42.06615301552556,460.0,460.0
NH4+,778.5607370076495,-32.22771549318302,-31.224402910572106,-30.835422448735237,-42.06615301552556,460.0,460.0
N2H4,778.5607370076495,-32.22771549318302,-31.224402910572106,-30.835422448735237,-42.06615301552556,460.0,460.0
NH2CDO,778.5607370076495,-32.22771549318302,-31.224402910572106,-30.835422448735237,-59.461007600491044,460.0,460.0
NH2CNH+,778.5607370076495,-32.22771549318302,-31.224402910572106,-30.835422448735237,-42.06615301552556,460.0,460.0
NH2CHS,778.5607370076495,-32.22771549318302,-31.224402910572106,-30.835422448735237,-42.06615301552556,460.0,460.0
trans-NHDCHO,824.3584274198644,-21.353580466355456,-20.733113383371084,-20.55645269438574,-48.13327632845938,487.45402820878917,324.9693521391928
NH2CH2O,686.9653561832204,-23.265044386803183,-22.722355247380033,-22.582594181359166,-36.62916114025343,446.2788546799075,297.5192364532717
NH2CH2O+,686.9653561832204,-23.260093432797877,-22.717579229025574,-22.577900517603776,-36.668831146021546,446.18621412975546,297.4574760865036
NH2CH2SH,686.9653561832204,-35.22911090361055,-34.26478089223577,-33.898144272316216,-44.87547822503228,446.25196994368775,446.25196994368775
OH,824.3584274198644,-21.46837336808709,-20.84309550639723,-20.663983925227992,-33.69427771976918,490.0,326.6666666666667
OH-,824.3584274198644,-21.307793298169234,-20.68924518641136,-20.51355972849115,-34.194346029846386,486.43844941369736,324.2922996091316
OH+,824.3584274198644,-21.307793298169234,-20.68924518641136,-20.51355972849115,-34.194346029846386,486.43844941369736,324.2922996091316
O2H,824.3584274198644,-21.46837336808709,-20.84309550639723,-20.663983925227992,-33.69427771976918,490.0,326.6666666666667
HO2+,824.3584274198644,-21.275930008607652,-20.658717345034848,-20.48370975097099,-34.29298553749286,485.7316833800643,323.8211222533762
PC2H+,686.9653561832204,-35.32968394974679,-34.361818068249775,-33.99313987340392,-44.22040765391166,447.4989706287416,447.4989706287416
PCH2+,686.9653561832204,-35.28151691628097,-34.31534443978131,-33.94764414839229,-44.53439569669037,446.9017549744599,446.9017549744599
PNH2+,778.5607370076495,-31.58900732792564,-30.610941364369086,-30.236614941497105,-43.12597332519833,451.09625925418453,451.09625925418453
PC2H2+,686.9653561832204,-35.27813757396148,-34.31208390577291,-33.94445221327297,-44.556406944034144,446.85985466706825,446.85985466706825
PC3H+,686.9653561832204,-35.42681944860011,-34.455538662974085,-34.0848876130503,-43.58576789794664,448.70330962423117,448.70330962423117
PCH3+,686.9653561832204,-35.170115010201705,-34.20785918608377,-33.84241962218825,-45.25877871829466,445.52046295671767,445.52046295671767
PNH3+,778.5607370076495,-31.448673332736035,-30.476155319498314,-30.10504180750114,-43.35443978468874,449.1396577306781,449.1396577306781
PC2H3+,686.9653561832204,-35.29357103973513,-34.32697477474029,-33.95902978058154,-44.45586251808679,447.05121310199024,447.05121310199024
PC4H+,686.9653561832204,-35.4297958765193,-34.45841045305335,-34.087698934579485,-43.56629089952078,448.7402123904859,448.7402123904859
PCH4+,686.9653561832204,-35.23161163815181,-34.26719370644072,-33.90050633672701,-44.85921504505298,446.2829769478191,446.2829769478191
PC2H4+,686.9653561832204,-35.37806044047624,-34.40849381718289,-34.03883320858003,-43.904577751591816,448.0987736585395,448.0987736585395
PC4H2+,686.9653561832204,-35.330632305624185,-34.36273308311677,-33.99403563185056,-44.214220821411814,447.51072905133714,447.51072905133714
CH3S,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C2H5N+,686.9653561832204,-35.17756729566476,-34.21504946063429,-33.84945870781552,-45.210399999403265,445.6128667796361,445.6128667796361
C3H5N+,686.9653561832204,-35.24357159138105,-34.27873317497918,-33.911803080826,-44.781417468136006,446.4312699450827,446.4312699450827
C5H4,686.9653561832204,-35.287985797793745,-34.321585893716914,-33.953754283859865,-44.492254320156455,446.9819622018099,446.9819622018099
C6N2H+,778.5607370076495,-31.939084648064906,-30.94718015257623,-30.564827930728686,-42.54912531299659,455.97670497156076,455.97670497156076
C3H5NH+,778.5607370076495,-31.893714231165212,-30.903603114111903,-30.52229189746746,-42.62444010749852,455.34423311989195,455.34423311989195
C4H5N+,778.5607370076495,-31.898359937305898,-30.908065185667432,-30.52664738669908,-42.61673581474588,455.4089956434656,455.4089956434656
C6H4,686.9653561832204,-35.274887532346106,-34.30894812673945,-33.9413824071928,-44.57757379446218,446.81955750840007,446.81955750840007
C7H3,686.9653561832204,-35.2277507985359,-34.26346860550014,-33.89685958719733,-44.884322942693,446.2351057742732,446.2351057742732
C4H5NH+,778.5607370076495,-31.891091564293294,-30.901084115667466,-30.519833067390064,-42.628788692648016,455.3076723105714,455.3076723105714
C5H5N+,778.5607370076495,-32.02980642713928,-31.034316026200663,-30.64988148925212,-42.39803396289821,457.24134815071307,457.24134815071307
C5H7,686.9653561832204,-35.227127004858154,-34.26286674305988,-33.89627038379348,-44.88837932550974,446.2273712499665,446.2273712499665
C5H7+,686.9653561832204,-35.21822294636358,-34.254275732511694,-33.88786006413029,-44.94627163777368,446.11696813216616,446.11696813216616
C8H4,686.9653561832204,-35.274643844250306,-34.30871300605612,-33.941152233113606,-44.57916079778826,446.81653602598175,446.81653602598175
C9H3,686.9653561832204,-35.22774214383473,-34.26346025507955,-33.89685141241234,-44.8843792227127,446.2349984631675,446.2349984631675
C6H7,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
HCOCHO,686.9653561832204,-23.23799849808379,-22.69626499424771,-22.556953624049385,-36.845755949133405,445.7727770310638,297.1818513540425
c-C3H2OH+,824.3584274198644,-21.34998203533032,-20.729665762808587,-20.553081766455144,-34.06344232474762,487.3742149998029,324.91614333320194
HC5O+,686.9653561832204,-23.235594071951027,-22.693945526188468,-22.554674112441806,-36.86499820312971,445.727785349014,297.1518568993427
HC7O+,686.9653561832204,-23.235570262128647,-22.69392255766349,-22.55465153956725,-36.865188738547914,445.7273398186069,297.15155987907127
HC9O+,686.9653561832204,-23.235566004315334,-22.693918450295982,-22.554647502952264,-36.8652228111957,445.7272601462235,297.151506764149
